schema,relationship,object,context,pair,spec_obj,violation,comic_name,ecog,scn_cat,scn_type,cong_code,congruency,corr_ans,cue_file,action1,action2,action3,target_file
throw,adults,ball,picnic_20,wm_48,volley_ball,unrelated,01-02_01_02_188,NaN,picnic,outdoor,8,inc,right,stim/01-02_01_02_188_Slide-01.png,stim/01-02_01_02_188_Slide-02.png,stim/01-02_01_02_188_Slide-03.png,stim/01-02_01_02_188_Slide-04.png,stim/01-02_01_02_188_Slide-08.png
throw,adults,ball,beach_17,ww_41,beach_ball,unrelated,01-02_01_02_161,NaN,beach,outdoor,6,con,left,stim/01-02_01_02_161_Slide-01.png,stim/01-02_01_02_161_Slide-02.png,stim/01-02_01_02_161_Slide-03.png,stim/01-02_01_02_161_Slide-04.png,stim/01-02_01_02_161_Slide-06.png
throw,adults,ball,beach_22,mw_42,beach_ball,context,01-02_01_02_166,1,beach,outdoor,5,neu,right,stim/01-02_01_02_166_Slide-01.png,stim/01-02_01_02_166_Slide-02.png,stim/01-02_01_02_166_Slide-03.png,stim/01-02_01_02_166_Slide-04.png,stim/01-02_01_02_166_Slide-05.png
throw,adults,ball,picnic_17,ww_47,red_ball,action,01-02_01_02_185,NaN,picnic,outdoor,8,inc,right,stim/01-02_01_02_185_Slide-01.png,stim/01-02_01_02_185_Slide-02.png,stim/01-02_01_02_185_Slide-03.png,stim/01-02_01_02_185_Slide-04.png,stim/01-02_01_02_185_Slide-08.png
throw,adults,ball,park_24,mm_44,beach_ball,action,01-02_01_02_176,NaN,park,outdoor,6,con,left,stim/01-02_01_02_176_Slide-01.png,stim/01-02_01_02_176_Slide-02.png,stim/01-02_01_02_176_Slide-03.png,stim/01-02_01_02_176_Slide-04.png,stim/01-02_01_02_176_Slide-06.png
throw,adults,ball,bedroom_24,mm_36,volley_ball,other_schema,01-02_01_01_144,NaN,bedroom,indoor,5,neu,right,stim/01-02_01_01_144_Slide-01.png,stim/01-02_01_01_144_Slide-02.png,stim/01-02_01_01_144_Slide-03.png,stim/01-02_01_01_144_Slide-04.png,stim/01-02_01_01_144_Slide-05.png
throw,parents,ball,park_4,wm_12,volley_ball,other_schema,01-01_01_02_44,NaN,park,outdoor,8,inc,right,stim/01-01_01_02_44_Slide-01.png,stim/01-01_01_02_44_Slide-02.png,stim/01-01_01_02_44_Slide-03.png,stim/01-01_01_02_44_Slide-04.png,stim/01-01_01_02_44_Slide-08.png
throw,parents,ball,living_4,wm_6,american_ball,context,01-01_01_01_20,NaN,living,indoor,6,con,left,stim/01-01_01_01_20_Slide-01.png,stim/01-01_01_01_20_Slide-02.png,stim/01-01_01_01_20_Slide-03.png,stim/01-01_01_01_20_Slide-04.png,stim/01-01_01_01_20_Slide-06.png
throw,parents,ball,picnic_6,mw_16,beach_ball,action,01-01_01_02_62,1,picnic,outdoor,5,neu,right,stim/01-01_01_02_62_Slide-01.png,stim/01-01_01_02_62_Slide-02.png,stim/01-01_01_02_62_Slide-03.png,stim/01-01_01_02_62_Slide-04.png,stim/01-01_01_02_62_Slide-05.png
throw,parents,ball,beach_6,mw_10,beach_ball,other_schema,01-01_01_02_38,1,beach,outdoor,8,inc,right,stim/01-01_01_02_38_Slide-01.png,stim/01-01_01_02_38_Slide-02.png,stim/01-01_01_02_38_Slide-03.png,stim/01-01_01_02_38_Slide-04.png,stim/01-01_01_02_38_Slide-08.png
throw,parents,ball,picnic_8,mm_16,red_ball,context,01-01_01_02_64,NaN,picnic,outdoor,6,con,left,stim/01-01_01_02_64_Slide-01.png,stim/01-01_01_02_64_Slide-02.png,stim/01-01_01_02_64_Slide-03.png,stim/01-01_01_02_64_Slide-04.png,stim/01-01_01_02_64_Slide-06.png
throw,parents,ball,camping_1,ww_13,volley_ball,other_schema,01-01_01_02_49,NaN,camping,outdoor,5,neu,right,stim/01-01_01_02_49_Slide-01.png,stim/01-01_01_02_49_Slide-02.png,stim/01-01_01_02_49_Slide-03.png,stim/01-01_01_02_49_Slide-04.png,stim/01-01_01_02_49_Slide-05.png
throw,parents,ball,bedroom_4,wm_4,volley_ball,other_schema,01-01_01_01_12,NaN,bedroom,indoor,8,inc,right,stim/01-01_01_01_12_Slide-01.png,stim/01-01_01_01_12_Slide-02.png,stim/01-01_01_01_12_Slide-03.png,stim/01-01_01_01_12_Slide-04.png,stim/01-01_01_01_12_Slide-08.png
throw,parents,ball,picnic_1,ww_15,beach_ball,action,01-01_01_02_57,NaN,picnic,outdoor,6,con,left,stim/01-01_01_02_57_Slide-01.png,stim/01-01_01_02_57_Slide-02.png,stim/01-01_01_02_57_Slide-03.png,stim/01-01_01_02_57_Slide-04.png,stim/01-01_01_02_57_Slide-06.png
throw,parents,ball,park_1,ww_11,red_ball,other_schema,01-01_01_02_41,NaN,park,outdoor,5,neu,right,stim/01-01_01_02_41_Slide-01.png,stim/01-01_01_02_41_Slide-02.png,stim/01-01_01_02_41_Slide-03.png,stim/01-01_01_02_41_Slide-04.png,stim/01-01_01_02_41_Slide-05.png
throw,adults,frisbee,picnic_26,ww_64,blue_frisbee,other_schema,01-02_02_02_250,NaN,picnic,outdoor,8,inc,right,stim/01-02_02_02_250_Slide-01.png,stim/01-02_02_02_250_Slide-02.png,stim/01-02_02_02_250_Slide-03.png,stim/01-02_02_02_250_Slide-04.png,stim/01-02_02_02_250_Slide-08.png
throw,adults,frisbee,park_26,ww_60,red_frisbee,action,01-02_02_02_234,NaN,park,outdoor,6,con,left,stim/01-02_02_02_234_Slide-01.png,stim/01-02_02_02_234_Slide-02.png,stim/01-02_02_02_234_Slide-03.png,stim/01-02_02_02_234_Slide-04.png,stim/01-02_02_02_234_Slide-06.png
throw,adults,frisbee,office_31,mm_55,blue_frisbee,action,01-02_02_01_223,NaN,office,indoor,5,neu,right,stim/01-02_02_01_223_Slide-01.png,stim/01-02_02_01_223_Slide-02.png,stim/01-02_02_01_223_Slide-03.png,stim/01-02_02_01_223_Slide-04.png,stim/01-02_02_01_223_Slide-05.png
throw,adults,frisbee,picnic_31,mm_63,yellow_frisbee,other_schema,01-02_02_02_255,NaN,picnic,outdoor,8,inc,right,stim/01-02_02_02_255_Slide-01.png,stim/01-02_02_02_255_Slide-02.png,stim/01-02_02_02_255_Slide-03.png,stim/01-02_02_02_255_Slide-04.png,stim/01-02_02_02_255_Slide-08.png
throw,adults,frisbee,beach_28,wm_58,red_frisbee,action,01-02_02_02_228,NaN,beach,outdoor,6,con,left,stim/01-02_02_02_228_Slide-01.png,stim/01-02_02_02_228_Slide-02.png,stim/01-02_02_02_228_Slide-03.png,stim/01-02_02_02_228_Slide-04.png,stim/01-02_02_02_228_Slide-06.png
throw,adults,frisbee,kitchen_28,wm_50,brown_frisbee,other_schema,01-02_02_01_196,NaN,kitchen,indoor,5,neu,right,stim/01-02_02_01_196_Slide-01.png,stim/01-02_02_01_196_Slide-02.png,stim/01-02_02_01_196_Slide-03.png,stim/01-02_02_01_196_Slide-04.png,stim/01-02_02_01_196_Slide-05.png
throw,parents,frisbee,office_15,mm_23,blue_frisbee,other_schema,01-01_02_01_95,NaN,office,indoor,8,inc,right,stim/01-01_02_01_95_Slide-01.png,stim/01-01_02_01_95_Slide-02.png,stim/01-01_02_01_95_Slide-03.png,stim/01-01_02_01_95_Slide-04.png,stim/01-01_02_01_95_Slide-08.png
throw,parents,frisbee,park_15,mm_27,yellow_frisbee,unrelated,01-01_02_02_111,NaN,park,outdoor,6,con,left,stim/01-01_02_02_111_Slide-01.png,stim/01-01_02_02_111_Slide-02.png,stim/01-01_02_02_111_Slide-03.png,stim/01-01_02_02_111_Slide-04.png,stim/01-01_02_02_111_Slide-06.png
throw,parents,frisbee,camping_11,wm_29,yellow_frisbee,unrelated,01-01_02_02_115,NaN,camping,outdoor,5,neu,right,stim/01-01_02_02_115_Slide-01.png,stim/01-01_02_02_115_Slide-02.png,stim/01-01_02_02_115_Slide-03.png,stim/01-01_02_02_115_Slide-04.png,stim/01-01_02_02_115_Slide-05.png
throw,parents,frisbee,beach_15,mm_25,red_frisbee,other_schema,01-01_02_02_103,NaN,beach,outdoor,8,inc,right,stim/01-01_02_02_103_Slide-01.png,stim/01-01_02_02_103_Slide-02.png,stim/01-01_02_02_103_Slide-03.png,stim/01-01_02_02_103_Slide-04.png,stim/01-01_02_02_103_Slide-08.png
throw,parents,frisbee,camping_13,mw_29,yellow_frisbee,unrelated,01-01_02_02_117,1,camping,outdoor,6,con,left,stim/01-01_02_02_117_Slide-01.png,stim/01-01_02_02_117_Slide-02.png,stim/01-01_02_02_117_Slide-03.png,stim/01-01_02_02_117_Slide-04.png,stim/01-01_02_02_117_Slide-06.png
throw,parents,frisbee,kitchen_13,mw_17,red_frisbee,context,01-01_02_01_69,1,kitchen,indoor,5,neu,right,stim/01-01_02_01_69_Slide-01.png,stim/01-01_02_01_69_Slide-02.png,stim/01-01_02_01_69_Slide-03.png,stim/01-01_02_01_69_Slide-04.png,stim/01-01_02_01_69_Slide-05.png
throw,parents,frisbee,living_13,mw_21,red_frisbee,other_schema,01-01_02_01_85,1,living,indoor,8,inc,right,stim/01-01_02_01_85_Slide-01.png,stim/01-01_02_01_85_Slide-02.png,stim/01-01_02_01_85_Slide-03.png,stim/01-01_02_01_85_Slide-04.png,stim/01-01_02_01_85_Slide-08.png
throw,parents,frisbee,beach_11,wm_25,blue_frisbee,other_schema,01-01_02_02_99,NaN,beach,outdoor,6,con,left,stim/01-01_02_02_99_Slide-01.png,stim/01-01_02_02_99_Slide-02.png,stim/01-01_02_02_99_Slide-03.png,stim/01-01_02_02_99_Slide-04.png,stim/01-01_02_02_99_Slide-06.png
throw,parents,frisbee,picnic_11,wm_31,yellow_frisbee,other_schema,01-01_02_02_123,NaN,picnic,outdoor,5,neu,right,stim/01-01_02_02_123_Slide-01.png,stim/01-01_02_02_123_Slide-02.png,stim/01-01_02_02_123_Slide-03.png,stim/01-01_02_02_123_Slide-04.png,stim/01-01_02_02_123_Slide-05.png
serve,adults,drinks,picnic_14,mw_50,milk,context,02-02_02_02_126,1,picnic,outdoor,8,inc,right,stim/02-02_02_02_126_Slide-09.png,stim/02-02_02_02_126_Slide-10.png,stim/02-02_02_02_126_Slide-11.png,stim/02-02_02_02_126_Slide-12.png,stim/02-02_02_02_126_Slide-16.png
serve,adults,drinks,beach_30,mw_54,milk,other_schema,02-02_02_02_230,1,beach,outdoor,6,con,left,stim/02-02_02_02_230_Slide-09.png,stim/02-02_02_02_230_Slide-10.png,stim/02-02_02_02_230_Slide-11.png,stim/02-02_02_02_230_Slide-12.png,stim/02-02_02_02_230_Slide-14.png
serve,adults,drinks,bedroom_32,mm_51,milk,context,02-02_02_01_208,NaN,bedroom,indoor,5,neu,right,stim/02-02_02_01_208_Slide-09.png,stim/02-02_02_01_208_Slide-10.png,stim/02-02_02_01_208_Slide-11.png,stim/02-02_02_01_208_Slide-12.png,stim/02-02_02_01_208_Slide-13.png
serve,adults,drinks,office_10,ww_62,juice,action,02-02_02_01_90,NaN,office,indoor,8,inc,right,stim/02-02_02_01_90_Slide-09.png,stim/02-02_02_01_90_Slide-10.png,stim/02-02_02_01_90_Slide-11.png,stim/02-02_02_01_90_Slide-12.png,stim/02-02_02_01_90_Slide-16.png
serve,adults,drinks,office_14,mw_45,milk,action,02-02_02_01_94,1,office,indoor,6,con,left,stim/02-02_02_01_94_Slide-09.png,stim/02-02_02_01_94_Slide-10.png,stim/02-02_02_01_94_Slide-11.png,stim/02-02_02_01_94_Slide-12.png,stim/02-02_02_01_94_Slide-14.png
serve,adults,drinks,park_30,mw_36,soda,unrelated,02-02_02_02_238,1,park,outdoor,5,neu,right,stim/02-02_02_02_238_Slide-09.png,stim/02-02_02_02_238_Slide-10.png,stim/02-02_02_02_238_Slide-11.png,stim/02-02_02_02_238_Slide-12.png,stim/02-02_02_02_238_Slide-13.png
serve,parents,drinks,living_10,ww_28,water,other_schema,02-01_02_01_82,NaN,living,indoor,8,inc,right,stim/02-01_02_01_82_Slide-09.png,stim/02-01_02_01_82_Slide-10.png,stim/02-01_02_01_82_Slide-11.png,stim/02-01_02_01_82_Slide-12.png,stim/02-01_02_01_82_Slide-16.png
serve,parents,drinks,picnic_16,mm_5,juice,unrelated,02-01_02_02_128,NaN,picnic,outdoor,6,con,left,stim/02-01_02_02_128_Slide-09.png,stim/02-01_02_02_128_Slide-10.png,stim/02-01_02_02_128_Slide-11.png,stim/02-01_02_02_128_Slide-12.png,stim/02-01_02_02_128_Slide-14.png
serve,parents,drinks,picnic_12,wm_10,juice,context,02-01_02_02_124,NaN,picnic,outdoor,5,neu,right,stim/02-01_02_02_124_Slide-09.png,stim/02-01_02_02_124_Slide-10.png,stim/02-01_02_02_124_Slide-11.png,stim/02-01_02_02_124_Slide-12.png,stim/02-01_02_02_124_Slide-13.png
serve,parents,drinks,picnic_30,mw_12,milk,action,02-01_02_02_254,1,picnic,outdoor,8,inc,right,stim/02-01_02_02_254_Slide-09.png,stim/02-01_02_02_254_Slide-10.png,stim/02-01_02_02_254_Slide-11.png,stim/02-01_02_02_254_Slide-12.png,stim/02-01_02_02_254_Slide-16.png
serve,parents,drinks,living_30,mw_7,water,action,02-01_02_01_214,1,living,indoor,6,con,left,stim/02-01_02_01_214_Slide-09.png,stim/02-01_02_01_214_Slide-10.png,stim/02-01_02_01_214_Slide-11.png,stim/02-01_02_01_214_Slide-12.png,stim/02-01_02_01_214_Slide-14.png
serve,parents,drinks,picnic_2,ww_24,water,other_schema,02-01_02_02_58,NaN,picnic,outdoor,5,neu,right,stim/02-01_02_02_58_Slide-09.png,stim/02-01_02_02_58_Slide-10.png,stim/02-01_02_02_58_Slide-11.png,stim/02-01_02_02_58_Slide-12.png,stim/02-01_02_02_58_Slide-13.png
serve,parents,drinks,beach_18,ww_11,juice,action,02-01_02_02_162,NaN,beach,outdoor,8,inc,right,stim/02-01_02_02_162_Slide-09.png,stim/02-01_02_02_162_Slide-10.png,stim/02-01_02_02_162_Slide-11.png,stim/02-01_02_02_162_Slide-12.png,stim/02-01_02_02_162_Slide-16.png
serve,parents,drinks,park_14,mw_23,juice,unrelated,02-01_02_02_110,1,park,outdoor,6,con,left,stim/02-01_02_02_110_Slide-09.png,stim/02-01_02_02_110_Slide-10.png,stim/02-01_02_02_110_Slide-11.png,stim/02-01_02_02_110_Slide-12.png,stim/02-01_02_02_110_Slide-14.png
serve,parents,drinks,picnic_32,mm_18,juice,context,02-01_02_02_256,NaN,picnic,outdoor,5,neu,right,stim/02-01_02_02_256_Slide-09.png,stim/02-01_02_02_256_Slide-10.png,stim/02-01_02_02_256_Slide-11.png,stim/02-01_02_02_256_Slide-12.png,stim/02-01_02_02_256_Slide-13.png
serve,adults,food,picnic_29,mw_49,hot_dog,action,02-02_01_02_253,1,picnic,outdoor,8,inc,right,stim/02-02_01_02_253_Slide-09.png,stim/02-02_01_02_253_Slide-10.png,stim/02-02_01_02_253_Slide-11.png,stim/02-02_01_02_253_Slide-12.png,stim/02-02_01_02_253_Slide-16.png
serve,adults,food,park_29,mw_39,hot_dog,unrelated,02-02_01_02_237,1,park,outdoor,6,con,left,stim/02-02_01_02_237_Slide-09.png,stim/02-02_01_02_237_Slide-10.png,stim/02-02_01_02_237_Slide-11.png,stim/02-02_01_02_237_Slide-12.png,stim/02-02_01_02_237_Slide-14.png
serve,adults,food,kitchen_27,wm_46,donut,other_schema,02-02_01_01_195,NaN,kitchen,indoor,5,neu,right,stim/02-02_01_01_195_Slide-09.png,stim/02-02_01_01_195_Slide-10.png,stim/02-02_01_01_195_Slide-11.png,stim/02-02_01_01_195_Slide-12.png,stim/02-02_01_01_195_Slide-13.png
serve,adults,food,bedroom_7,mm_57,hot_dog,unrelated,02-02_01_01_15,NaN,bedroom,indoor,8,inc,right,stim/02-02_01_01_15_Slide-09.png,stim/02-02_01_01_15_Slide-10.png,stim/02-02_01_01_15_Slide-11.png,stim/02-02_01_01_15_Slide-12.png,stim/02-02_01_01_15_Slide-16.png
serve,adults,food,beach_5,mw_53,hamburger,unrelated,02-02_01_02_37,1,beach,outdoor,6,con,left,stim/02-02_01_02_37_Slide-09.png,stim/02-02_01_02_37_Slide-10.png,stim/02-02_01_02_37_Slide-11.png,stim/02-02_01_02_37_Slide-12.png,stim/02-02_01_02_37_Slide-14.png
serve,adults,food,picnic_25,ww_36,hot_dog,other_schema,02-02_01_02_249,NaN,picnic,outdoor,5,neu,right,stim/02-02_01_02_249_Slide-09.png,stim/02-02_01_02_249_Slide-10.png,stim/02-02_01_02_249_Slide-11.png,stim/02-02_01_02_249_Slide-12.png,stim/02-02_01_02_249_Slide-13.png
serve,parents,food,camping_5,mw_9,hot_dog,unrelated,02-01_01_02_53,1,camping,outdoor,8,inc,right,stim/02-01_01_02_53_Slide-09.png,stim/02-01_01_02_53_Slide-10.png,stim/02-01_01_02_53_Slide-11.png,stim/02-01_01_02_53_Slide-12.png,stim/02-01_01_02_53_Slide-16.png
serve,parents,food,kitchen_25,ww_18,hamburger,unrelated,02-01_01_01_193,NaN,kitchen,indoor,6,con,left,stim/02-01_01_01_193_Slide-09.png,stim/02-01_01_01_193_Slide-10.png,stim/02-01_01_01_193_Slide-11.png,stim/02-01_01_01_193_Slide-12.png,stim/02-01_01_01_193_Slide-14.png
serve,parents,food,park_21,mw_6,donut,context,02-01_01_02_173,1,park,outdoor,5,neu,right,stim/02-01_01_02_173_Slide-09.png,stim/02-01_01_02_173_Slide-10.png,stim/02-01_01_02_173_Slide-11.png,stim/02-01_01_02_173_Slide-12.png,stim/02-01_01_02_173_Slide-13.png
serve,parents,food,camping_21,mw_27,hot_dog,unrelated,02-01_01_02_181,1,camping,outdoor,8,inc,right,stim/02-01_01_02_181_Slide-09.png,stim/02-01_01_02_181_Slide-10.png,stim/02-01_01_02_181_Slide-11.png,stim/02-01_01_02_181_Slide-12.png,stim/02-01_01_02_181_Slide-16.png
serve,parents,food,park_7,mm_12,hamburger,context,02-01_01_02_47,NaN,park,outdoor,6,con,left,stim/02-01_01_02_47_Slide-09.png,stim/02-01_01_02_47_Slide-10.png,stim/02-01_01_02_47_Slide-11.png,stim/02-01_01_02_47_Slide-12.png,stim/02-01_01_02_47_Slide-14.png
serve,parents,food,bedroom_25,ww_10,donut,unrelated,02-01_01_01_201,NaN,bedroom,indoor,5,neu,right,stim/02-01_01_01_201_Slide-09.png,stim/02-01_01_01_201_Slide-10.png,stim/02-01_01_01_201_Slide-11.png,stim/02-01_01_01_201_Slide-12.png,stim/02-01_01_01_201_Slide-13.png
serve,parents,food,kitchen_23,mm_15,donut,unrelated,02-01_01_01_135,NaN,kitchen,indoor,8,inc,right,stim/02-01_01_01_135_Slide-09.png,stim/02-01_01_01_135_Slide-10.png,stim/02-01_01_01_135_Slide-11.png,stim/02-01_01_01_135_Slide-12.png,stim/02-01_01_01_135_Slide-16.png
serve,parents,food,park_5,mw_18,donut,other_schema,02-01_01_02_45,1,park,outdoor,6,con,left,stim/02-01_01_02_45_Slide-09.png,stim/02-01_01_02_45_Slide-10.png,stim/02-01_01_02_45_Slide-11.png,stim/02-01_01_02_45_Slide-12.png,stim/02-01_01_02_45_Slide-14.png
serve,parents,food,kitchen_9,ww_4,hot_dog,unrelated,02-01_01_01_65,NaN,kitchen,indoor,5,neu,right,stim/02-01_01_01_65_Slide-09.png,stim/02-01_01_01_65_Slide-10.png,stim/02-01_01_01_65_Slide-11.png,stim/02-01_01_01_65_Slide-12.png,stim/02-01_01_01_65_Slide-13.png
