schema,relationship,object,context,pair,spec_obj,violation,name,ecog,scn_cat,scn_type
throw,adults,ball,camping_20,wm_46,red_ball,context,01-02_01_02_180,NaN,camping,outdoor
throw,adults,ball,bedroom_17,ww_35,beach_ball,action,01-02_01_01_137,NaN,bedroom,indoor
throw,adults,ball,park_22,mw_44,red_ball,action,01-02_01_02_174,1,park,outdoor
throw,adults,ball,picnic_20,wm_48,volley_ball,unrelated,01-02_01_02_188,NaN,picnic,outdoor
throw,adults,ball,beach_17,ww_41,beach_ball,unrelated,01-02_01_02_161,NaN,beach,outdoor
throw,adults,ball,beach_22,mw_42,beach_ball,context,01-02_01_02_166,1,beach,outdoor
throw,adults,ball,picnic_17,ww_47,red_ball,action,01-02_01_02_185,NaN,picnic,outdoor
throw,adults,ball,park_24,mm_44,beach_ball,action,01-02_01_02_176,NaN,park,outdoor
throw,adults,ball,bedroom_24,mm_36,volley_ball,other_schema,01-02_01_01_144,NaN,bedroom,indoor
throw,adults,ball,picnic_22,mw_48,beach_ball,other_schema,01-02_01_02_190,1,picnic,outdoor
throw,adults,ball,kitchen_17,ww_33,red_ball,action,01-02_01_01_129,NaN,kitchen,indoor
throw,adults,ball,picnic_24,mm_48,red_ball,context,01-02_01_02_192,NaN,picnic,outdoor
throw,parents,ball,park_4,wm_12,volley_ball,other_schema,01-01_01_02_44,NaN,park,outdoor
throw,parents,ball,living_4,wm_6,american_ball,context,01-01_01_01_20,NaN,living,indoor
throw,parents,ball,picnic_6,mw_16,beach_ball,action,01-01_01_02_62,1,picnic,outdoor
throw,parents,ball,beach_6,mw_10,beach_ball,other_schema,01-01_01_02_38,1,beach,outdoor
throw,parents,ball,picnic_8,mm_16,red_ball,context,01-01_01_02_64,NaN,picnic,outdoor
throw,parents,ball,camping_1,ww_13,volley_ball,other_schema,01-01_01_02_49,NaN,camping,outdoor
throw,parents,ball,bedroom_4,wm_4,volley_ball,other_schema,01-01_01_01_12,NaN,bedroom,indoor
throw,parents,ball,picnic_1,ww_15,beach_ball,action,01-01_01_02_57,NaN,picnic,outdoor
throw,parents,ball,park_1,ww_11,red_ball,other_schema,01-01_01_02_41,NaN,park,outdoor
throw,parents,ball,camping_8,mm_14,beach_ball,unrelated,01-01_01_02_56,NaN,camping,outdoor
throw,parents,ball,beach_8,mm_10,red_ball,unrelated,01-01_01_02_40,NaN,beach,outdoor
throw,parents,ball,beach_1,ww_9,volley_ball,unrelated,01-01_01_02_33,NaN,beach,outdoor
throw,adults,frisbee,camping_28,wm_62,blue_frisbee,unrelated,01-02_02_02_244,NaN,camping,outdoor
throw,adults,frisbee,living_28,wm_54,yellow_frisbee,other_schema,01-02_02_01_212,NaN,living,indoor
throw,adults,frisbee,kitchen_31,mm_49,blue_frisbee,unrelated,01-02_02_01_199,NaN,kitchen,indoor
throw,adults,frisbee,picnic_26,ww_64,blue_frisbee,other_schema,01-02_02_02_250,NaN,picnic,outdoor
throw,adults,frisbee,park_26,ww_60,red_frisbee,action,01-02_02_02_234,NaN,park,outdoor
throw,adults,frisbee,office_31,mm_55,blue_frisbee,action,01-02_02_01_223,NaN,office,indoor
throw,adults,frisbee,picnic_31,mm_63,yellow_frisbee,other_schema,01-02_02_02_255,NaN,picnic,outdoor
throw,adults,frisbee,beach_28,wm_58,red_frisbee,action,01-02_02_02_228,NaN,beach,outdoor
throw,adults,frisbee,kitchen_28,wm_50,brown_frisbee,other_schema,01-02_02_01_196,NaN,kitchen,indoor
throw,adults,frisbee,park_28,wm_60,brown_frisbee,action,01-02_02_02_236,NaN,park,outdoor
throw,adults,frisbee,living_26,ww_54,blue_frisbee,context,01-02_02_01_210,NaN,living,indoor
throw,adults,frisbee,camping_31,mm_61,brown_frisbee,action,01-02_02_02_247,NaN,camping,outdoor
throw,parents,frisbee,office_15,mm_23,blue_frisbee,other_schema,01-01_02_01_95,NaN,office,indoor
throw,parents,frisbee,park_15,mm_27,yellow_frisbee,unrelated,01-01_02_02_111,NaN,park,outdoor
throw,parents,frisbee,camping_11,wm_29,yellow_frisbee,unrelated,01-01_02_02_115,NaN,camping,outdoor
throw,parents,frisbee,beach_15,mm_25,red_frisbee,other_schema,01-01_02_02_103,NaN,beach,outdoor
throw,parents,frisbee,camping_13,mw_29,yellow_frisbee,unrelated,01-01_02_02_117,1,camping,outdoor
throw,parents,frisbee,kitchen_13,mw_17,red_frisbee,context,01-01_02_01_69,1,kitchen,indoor
throw,parents,frisbee,living_13,mw_21,red_frisbee,other_schema,01-01_02_01_85,1,living,indoor
throw,parents,frisbee,beach_11,wm_25,blue_frisbee,other_schema,01-01_02_02_99,NaN,beach,outdoor
throw,parents,frisbee,picnic_11,wm_31,yellow_frisbee,other_schema,01-01_02_02_123,NaN,picnic,outdoor
throw,parents,frisbee,living_11,wm_21,red_frisbee,unrelated,01-01_02_01_83,NaN,living,indoor
throw,parents,frisbee,picnic_15,mm_31,yellow_frisbee,action,01-01_02_02_127,NaN,picnic,outdoor
throw,parents,frisbee,office_13,mw_23,yellow_frisbee,action,01-01_02_01_93,1,office,indoor
serve,adults,drinks,camping_10,ww_46,soda,other_schema,02-02_02_02_114,NaN,camping,outdoor
serve,adults,drinks,beach_2,ww_35,juice,other_schema,02-02_02_02_34,NaN,beach,outdoor
serve,adults,drinks,kitchen_10,ww_52,soda,context,02-02_02_01_66,NaN,kitchen,indoor
serve,adults,drinks,picnic_14,mw_50,milk,context,02-02_02_02_126,1,picnic,outdoor
serve,adults,drinks,beach_30,mw_54,milk,other_schema,02-02_02_02_230,1,beach,outdoor
serve,adults,drinks,bedroom_32,mm_51,milk,context,02-02_02_01_208,NaN,bedroom,indoor
serve,adults,drinks,office_10,ww_62,juice,action,02-02_02_01_90,NaN,office,indoor
serve,adults,drinks,office_14,mw_45,milk,action,02-02_02_01_94,1,office,indoor
serve,adults,drinks,park_30,mw_36,soda,unrelated,02-02_02_02_238,1,park,outdoor
serve,adults,drinks,park_16,mm_58,milk,action,02-02_02_02_112,NaN,park,outdoor
serve,adults,drinks,camping_18,ww_34,milk,other_schema,02-02_02_02_178,NaN,camping,outdoor
serve,adults,drinks,park_18,ww_57,soda,unrelated,02-02_02_02_170,NaN,park,outdoor
serve,parents,drinks,living_10,ww_28,water,other_schema,02-01_02_01_82,NaN,living,indoor
serve,parents,drinks,picnic_16,mm_5,juice,unrelated,02-01_02_02_128,NaN,picnic,outdoor
serve,parents,drinks,picnic_12,wm_10,juice,context,02-01_02_02_124,NaN,picnic,outdoor
serve,parents,drinks,picnic_30,mw_12,milk,action,02-01_02_02_254,1,picnic,outdoor
serve,parents,drinks,living_30,mw_7,water,action,02-01_02_01_214,1,living,indoor
serve,parents,drinks,picnic_2,ww_24,water,other_schema,02-01_02_02_58,NaN,picnic,outdoor
serve,parents,drinks,beach_18,ww_11,juice,action,02-01_02_02_162,NaN,beach,outdoor
serve,parents,drinks,park_14,mw_23,juice,unrelated,02-01_02_02_110,1,park,outdoor
serve,parents,drinks,picnic_32,mm_18,juice,context,02-01_02_02_256,NaN,picnic,outdoor
serve,parents,drinks,camping_12,wm_22,water,unrelated,02-01_02_02_116,NaN,camping,outdoor
serve,parents,drinks,office_32,mm_9,juice,context,02-01_02_01_224,NaN,office,indoor
serve,parents,drinks,picnic_18,ww_7,water,other_schema,02-01_02_02_186,NaN,picnic,outdoor
serve,adults,food,picnic_5,mw_40,hamburger,other_schema,02-02_01_02_61,1,picnic,outdoor
serve,adults,food,picnic_9,ww_63,hot_dog,other_schema,02-02_01_02_121,NaN,picnic,outdoor
serve,adults,food,beach_29,mw_35,hot_dog,action,02-02_01_02_229,1,beach,outdoor
serve,adults,food,picnic_29,mw_49,hot_dog,action,02-02_01_02_253,1,picnic,outdoor
serve,adults,food,park_29,mw_39,hot_dog,unrelated,02-02_01_02_237,1,park,outdoor
serve,adults,food,kitchen_27,wm_46,donut,other_schema,02-02_01_01_195,NaN,kitchen,indoor
serve,adults,food,bedroom_7,mm_57,hot_dog,unrelated,02-02_01_01_15,NaN,bedroom,indoor
serve,adults,food,beach_5,mw_53,hamburger,unrelated,02-02_01_02_37,1,beach,outdoor
serve,adults,food,picnic_25,ww_36,hot_dog,other_schema,02-02_01_02_249,NaN,picnic,outdoor
serve,adults,food,camping_7,mm_34,cookie,other_schema,02-02_01_02_55,NaN,camping,outdoor
serve,adults,food,beach_9,ww_60,hot_dog,action,02-02_01_02_97,NaN,beach,outdoor
serve,adults,food,camping_9,ww_59,cookie,unrelated,02-02_01_02_113,NaN,camping,outdoor
serve,parents,food,camping_5,mw_9,hot_dog,unrelated,02-01_01_02_53,1,camping,outdoor
serve,parents,food,kitchen_25,ww_18,hamburger,unrelated,02-01_01_01_193,NaN,kitchen,indoor
serve,parents,food,park_21,mw_6,donut,context,02-01_01_02_173,1,park,outdoor
serve,parents,food,camping_21,mw_27,hot_dog,unrelated,02-01_01_02_181,1,camping,outdoor
serve,parents,food,park_7,mm_12,hamburger,context,02-01_01_02_47,NaN,park,outdoor
serve,parents,food,bedroom_25,ww_10,donut,unrelated,02-01_01_01_201,NaN,bedroom,indoor
serve,parents,food,kitchen_23,mm_15,donut,unrelated,02-01_01_01_135,NaN,kitchen,indoor
serve,parents,food,park_5,mw_18,donut,other_schema,02-01_01_02_45,1,park,outdoor
serve,parents,food,kitchen_9,ww_4,hot_dog,unrelated,02-01_01_01_65,NaN,kitchen,indoor
serve,parents,food,picnic_23,mm_8,hamburger,context,02-01_01_02_191,NaN,picnic,outdoor
serve,parents,food,picnic_27,wm_17,cookie,context,02-01_01_02_251,NaN,picnic,outdoor
serve,parents,food,beach_25,ww_9,donut,context,02-01_01_02_225,NaN,beach,outdoor
